id,team1,team2,description,,,toss winner,toss decision,1st inning score,2nd inning score,player of the match,won by,winner,top scorer,start_date,highest score,venue_id,venue_name,best bowler,,first innings wickets,second innings wickets
1273728,AFG,SCOT,"17th Match, Group 2 (N), ICC Men's T20 World Cup at Sharjah, Oct 25 2021",,,AFG,BAT FIRST,194,60,Devon Conway,Runs,AFG,Devon Conway,2021-10-25T14:00Z,92,59392,Sharjah Cricket Stadium,Tim Southee,,3,10
1273729,SA,WI,"18th Match, Group 1, ICC Men's T20 World Cup at Dubai, Oct 26 2021",,,SA,BOWL FIRST,143,144,Anrich Nortje,Wickets,WI,E.Lewis,2021-10-26T10:00Z,56,392627,Dubai International Cricket Stadium,Sam Curran,,8,2
1273730,PAK,NZ,"19th Match, Group 2 (N), ICC Men's T20 World Cup at Sharjah, Oct 26 2021",,,PAK ,BOWL FIRST,134,135,Harish Rauf,Wickets,PAK,Mohammad Rizwan,2021-10-26T14:00Z,33,59392,Sharjah Cricket Stadium,Maheesh Theekshana,,8,5
1273731,BAN,ENG,"20th Match, Group 1, ICC Men's T20 World Cup at Abu Dhabi, Oct 27 2021",,,BAN ,BAT FIRST,124,126,Jason Roy,Wickets,ENG,Jason Roy,2021-10-27T10:00Z,61,59396,"Sheikh Zayed Stadium, Abu Dhabi",T.Mills,,9,2
1273732,SCOT,NAM,"21st Match, Group 2 (N), ICC Men's T20 World Cup at Abu Dhabi, Oct 27 2021",,,NAM ,BOWL FIRST,109,115,Ruben T.,Wickets,NAM,Michael Leask,2021-10-27T14:00Z,44,59396,"Sheikh Zayed Stadium, Abu Dhabi",Ruben T.,,8,6
1273733,AUS,SL,"22nd Match, Group 1 (N), ICC Men's T20 World Cup at Dubai, Oct 28 2021",,,AUS ,BOWL FIRST,154,155,Adam Zampa,Wickets,AUS,David Warner,2021-10-28T14:00Z,65,392627,Dubai International Cricket Stadium,Lungi Ngidi,,6,3
1273734,BAN,WI,"23rd Match, Group 1, ICC Men's T20 World Cup at Sharjah, Oct 29 2021",,,BAN,BOWL FIRST,142,139,Nicholas Pooran,Runs,WI,Litton Das,2021-10-29T10:00Z,44,59392,Sharjah Cricket Stadium,Glenn Maxwell,,7,5
1273735,AFG,PAK,"24th Match, Group 2 (N), ICC Men's T20 World Cup at Dubai, Oct 29 2021",,,AFG,BAT FIRST,147,148,Asif Ali,Wickets,PAK,Babar Azam,2021-10-29T14:00Z,51,392627,Dubai International Cricket Stadium,Liam Livingstone,,6,5
1273736,SA,SL,"25th Match, Group 1, ICC Men's T20 World Cup at Sharjah, Oct 30 2021",,,SA,BOWL FIRST,142,146,Tabraiz Shamsi,Wickets,SA,Pathum Nissanka,30-10-2021T14:00Z,,59392,Sharjah Cricket Stadium,,,10,6
1273737,AUS,ENG,"26th Match, Group 1 (N), ICC Men's T20 World Cup at Dubai, Oct 30 2021",,,ENG ,BOWL FIRST,125,126,Chris Jordan,Wickets,ENG,Jos Buttler,2021-10-30T14:00Z,71,392627,Dubai International Cricket Stadium,Anrich Nortje,,10,2
1273738,AFG,NAM,"27th Match, Group 2, ICC Men's T20 World Cup at Abu Dhabi, Oct 31 2021",,,AFG,BAT FIRST,160,98,Naveen-ul-Haq,Runs,AFG,Mohammad Shahzad,2021-10-31T10:00Z,45,59396,"Sheikh Zayed Stadium, Abu Dhabi",Bhuvneshwar Kumar,,5,9
1273739,IND,NZ,"28th Match, Group 2 (N), ICC Men's T20 World Cup at Dubai, Oct 31 2021",,,NZ,BOWL FIRST,110,111,Ish Sodhi,Wickets,NZ,Daryl Mitchel,2021-10-31T14:00Z,49,392627,Dubai International Cricket Stadium,Mohammad Wasim,,7,2
1273740,ENG,SL,"29th Match, Group 1 (N), ICC Men's T20 World Cup at Sharjah, Nov 1 2021",,,SL,BOWL FIRST,163,137,Jos Buttler,Runs,ENG,Jos Buttler,2021-11-01T14:00Z,101,59392,Sharjah Cricket Stadium,,,4,10
1273741,BAN,SA,"30th Match, Group 1, ICC Men's T20 World Cup at Abu Dhabi, Nov 2 2021",,,SA,BOWL FIRST,84,86,Kagiso Rabada,Wickets,SA,Temba Bavuma,2021-11-02T10:00Z,84,59396,"Sheikh Zayed Stadium, Abu Dhabi",,,10,4
1273742,PAK,NAM,"31st Match, Group 2 (N), ICC Men's T20 World Cup at Abu Dhabi, Nov 2 2021",,,PAK,BAT FIRST,189,144,Mohammad Rizwan,Runs,PAK,Mohammad Rizwan,2021-11-02T14:00Z,79,59396,"Sheikh Zayed Stadium, Abu Dhabi",Trent Boult,,2,5
1273743,NZ,SCOT,"32nd Match, Group 2, ICC Men's T20 World Cup at Dubai, Nov 3 2021",,,SCOT ,BOWL FIRST,172,156,Martin Guptill,Runs,NZ,Martin Guptill,2021-11-03T10:00Z,93,392627,Dubai International Cricket Stadium,Taskin Ahmed,,5,5
1273744,AFG,IND ,"33rd Match, Group 2 (N), ICC Men's T20 World Cup at Abu Dhabi, Nov 3 2021",,,AFG,BOWL FIRST,210,144,Rohit Sharma,Runs,IND,Rohit Sharma,2021-11-03T14:00Z,74,59396,"Sheikh Zayed Stadium, Abu Dhabi",Shadab Khan,,2,7
